"customer_id","customer_name","country","total_spent","total_invoices","avg_invoice_value","total_tracks_purchased","unique_genres","unique_artists","purchase_months"
6,"Helena Holý","Czech Republic","49.62","7","7.09","38","9","13","7"
26,"Richard Cunningham","USA","47.62","7","6.80","38","7","11","7"
57,"Luis Rojas","Chile","46.62","7","6.66","38","12","15","7"
45,"Ladislav Kovács","Hungary","45.62","7","6.52","38","11","18","7"
46,"Hugh O'Reilly","Ireland","45.62","7","6.52","38","8","11","7"
28,"Julia Barnett","USA","43.62","7","6.23","38","6","14","7"
37,"Fynn Zimmermann","Germany","43.62","7","6.23","38","10","15","7"
24,"Frank Ralston","USA","43.62","7","6.23","38","10","19","7"
25,"Victor Stevens","USA","42.62","7","6.09","38","8","15","7"
7,"Astrid Gruber","Austria","42.62","7","6.09","38","9","11","7"
44,"Terhi Hämäläinen","Finland","41.62","7","5.95","38","7","13","7"
48,"Johannes Van der Berg","Netherlands","40.62","7","5.80","38","7","15","7"
43,"Isabelle Mercier","France","40.62","7","5.80","38","9","18","7"
5,"František Wichterlová","Czech Republic","40.62","7","5.80","38","8","14","7"
17,"Jack Smith","USA","39.62","7","5.66","38","10","13","7"
34,"João Fernandes","Portugal","39.62","7","5.66","38","10","20","7"
20,"Dan Miller","USA","39.62","7","5.66","38","7","17","7"
22,"Heather Leacock","USA","39.62","7","5.66","38","8","16","7"
3,"François Tremblay","Canada","39.62","7","5.66","38","10","21","7"
42,"Wyatt Girard","France","39.62","7","5.66","38","7","15","7"
1,"Luís Gonçalves","Brazil","39.62","7","5.66","38","8","15","7"
4,"Bjørn Hansen","Norway","39.62","7","5.66","38","8","18","7"
58,"Manoj Pareek","India","38.62","7","5.52","38","8","15","7"
40,"Dominique Lefebvre","France","38.62","7","5.52","38","7","17","7"
15,"Jennifer Peterson","Canada","38.62","7","5.52","38","8","17","7"
39,"Camille Bernard","France","38.62","7","5.52","38","7","19","7"
51,"Joakim Johansson","Sweden","38.62","7","5.52","38","7","16","7"
19,"Tim Goyer","USA","38.62","7","5.52","38","9","16","7"
55,"Mark Taylor","Australia","37.62","7","5.37","38","6","9","7"
56,"Diego Gutiérrez","Argentina","37.62","7","5.37","38","7","14","7"
52,"Emma Jones","United Kingdom","37.62","7","5.37","38","5","16","7"
2,"Leonie Köhler","Germany","37.62","7","5.37","38","7","17","7"
8,"Daan Peeters","Belgium","37.62","7","5.37","38","4","13","7"
9,"Kara Nielsen","Denmark","37.62","7","5.37","38","5","15","7"
10,"Eduardo Martins","Brazil","37.62","7","5.37","38","7","14","7"
11,"Alexandre Rocha","Brazil","37.62","7","5.37","38","6","16","7"
12,"Roberto Almeida","Brazil","37.62","7","5.37","38","5","16","7"
13,"Fernanda Ramos","Brazil","37.62","7","5.37","38","7","20","7"
14,"Mark Philips","Canada","37.62","7","5.37","38","10","19","7"
16,"Frank Harris","USA","37.62","7","5.37","38","7","9","7"
18,"Michelle Brooks","USA","37.62","7","5.37","38","6","15","7"
21,"Kathy Chase","USA","37.62","7","5.37","38","9","16","7"
23,"John Gordon","USA","37.62","7","5.37","38","9","19","7"
27,"Patrick Gray","USA","37.62","7","5.37","38","9","17","7"
29,"Robert Brown","Canada","37.62","7","5.37","38","4","14","7"
30,"Edward Francis","Canada","37.62","7","5.37","38","6","16","7"
31,"Martha Silk","Canada","37.62","7","5.37","38","6","18","7"
32,"Aaron Mitchell","Canada","37.62","7","5.37","38","7","17","7"
33,"Ellie Sullivan","Canada","37.62","7","5.37","38","6","21","7"
35,"Madalena Sampaio","Portugal","37.62","7","5.37","38","6","8","7"
36,"Hannah Schneider","Germany","37.62","7","5.37","38","6","8","7"
38,"Niklas Schröder","Germany","37.62","7","5.37","38","7","14","7"
41,"Marc Dubois","France","37.62","7","5.37","38","9","22","7"
47,"Lucas Mancini","Italy","37.62","7","5.37","38","6","16","7"
49,"Stanisław Wójcik","Poland","37.62","7","5.37","38","5","17","7"
50,"Enrique Muñoz","Spain","37.62","7","5.37","38","7","15","7"
53,"Phil Hughes","United Kingdom","37.62","7","5.37","38","6","17","7"
54,"Steve Murray","United Kingdom","37.62","7","5.37","38","8","19","7"
59,"Puja Srivastava","India","36.64","6","6.11","36","7","19","6"
