"customer_id","customer_name","country","total_spent","total_invoices","avg_invoice_value","unique_genres","unique_artists","composite_score","customer_segment"
45,"Ladislav Kovács","Hungary","45.62","7","6.52","11","18",16,"Platinum"
24,"Frank Ralston","USA","43.62","7","6.23","10","19",16,"Platinum"
43,"Isabelle Mercier","France","40.62","7","5.80","9","18",16,"Platinum"
34,"João Fernandes","Portugal","39.62","7","5.66","10","20",15,"Platinum"
3,"François Tremblay","Canada","39.62","7","5.66","10","21",15,"Platinum"
57,"Luis Rojas","Chile","46.62","7","6.66","12","15",14,"Platinum"
37,"Fynn Zimmermann","Germany","43.62","7","6.23","10","15",14,"Platinum"
19,"Tim Goyer","USA","38.62","7","5.52","9","16",14,"Platinum"
23,"John Gordon","USA","37.62","7","5.37","9","19",14,"Platinum"
14,"Mark Philips","Canada","37.62","7","5.37","10","19",14,"Platinum"
6,"Helena Holý","Czech Republic","49.62","7","7.09","9","13",13,"Gold"
4,"Bjørn Hansen","Norway","39.62","7","5.66","8","18",13,"Gold"
21,"Kathy Chase","USA","37.62","7","5.37","9","16",13,"Gold"
25,"Victor Stevens","USA","42.62","7","6.09","8","15",12,"Gold"
5,"František Wichterlová","Czech Republic","40.62","7","5.80","8","14",12,"Gold"
22,"Heather Leacock","USA","39.62","7","5.66","8","16",12,"Gold"
17,"Jack Smith","USA","39.62","7","5.66","10","13",12,"Gold"
20,"Dan Miller","USA","39.62","7","5.66","7","17",12,"Gold"
15,"Jennifer Peterson","Canada","38.62","7","5.52","8","17",12,"Gold"
41,"Marc Dubois","France","37.62","7","5.37","9","22",12,"Gold"
13,"Fernanda Ramos","Brazil","37.62","7","5.37","7","20",12,"Gold"
54,"Steve Murray","United Kingdom","37.62","7","5.37","8","19",12,"Gold"
27,"Patrick Gray","USA","37.62","7","5.37","9","17",12,"Gold"
46,"Hugh O'Reilly","Ireland","45.62","7","6.52","8","11",11,"Gold"
7,"Astrid Gruber","Austria","42.62","7","6.09","9","11",11,"Gold"
1,"Luís Gonçalves","Brazil","39.62","7","5.66","8","15",11,"Gold"
39,"Camille Bernard","France","38.62","7","5.52","7","19",11,"Gold"
58,"Manoj Pareek","India","38.62","7","5.52","8","15",11,"Gold"
2,"Leonie Köhler","Germany","37.62","7","5.37","7","17",11,"Gold"
48,"Johannes Van der Berg","Netherlands","40.62","7","5.80","7","15",10,"Silver"
51,"Joakim Johansson","Sweden","38.62","7","5.52","7","16",10,"Silver"
40,"Dominique Lefebvre","France","38.62","7","5.52","7","17",10,"Silver"
26,"Richard Cunningham","USA","47.62","7","6.80","7","11",9,"Silver"
44,"Terhi Hämäläinen","Finland","41.62","7","5.95","7","13",9,"Silver"
42,"Wyatt Girard","France","39.62","7","5.66","7","15",9,"Silver"
32,"Aaron Mitchell","Canada","37.62","7","5.37","7","17",9,"Silver"
29,"Robert Brown","Canada","37.62","7","5.37","4","14",9,"Silver"
59,"Puja Srivastava","India","36.64","6","6.11","7","19",9,"Silver"
50,"Enrique Muñoz","Spain","37.62","7","5.37","7","15",8,"Silver"
30,"Edward Francis","Canada","37.62","7","5.37","6","16",8,"Silver"
38,"Niklas Schröder","Germany","37.62","7","5.37","7","14",8,"Silver"
28,"Julia Barnett","USA","43.62","7","6.23","6","14",7,"Silver"
33,"Ellie Sullivan","Canada","37.62","7","5.37","6","21",7,"Silver"
56,"Diego Gutiérrez","Argentina","37.62","7","5.37","7","14",7,"Silver"
16,"Frank Harris","USA","37.62","7","5.37","7","9",7,"Silver"
10,"Eduardo Martins","Brazil","37.62","7","5.37","7","14",7,"Silver"
35,"Madalena Sampaio","Portugal","37.62","7","5.37","6","8",6,"Bronze"
47,"Lucas Mancini","Italy","37.62","7","5.37","6","16",6,"Bronze"
53,"Phil Hughes","United Kingdom","37.62","7","5.37","6","17",6,"Bronze"
49,"Stanisław Wójcik","Poland","37.62","7","5.37","5","17",6,"Bronze"
52,"Emma Jones","United Kingdom","37.62","7","5.37","5","16",6,"Bronze"
31,"Martha Silk","Canada","37.62","7","5.37","6","18",6,"Bronze"
12,"Roberto Almeida","Brazil","37.62","7","5.37","5","16",5,"Bronze"
18,"Michelle Brooks","USA","37.62","7","5.37","6","15",5,"Bronze"
11,"Alexandre Rocha","Brazil","37.62","7","5.37","6","16",5,"Bronze"
9,"Kara Nielsen","Denmark","37.62","7","5.37","5","15",5,"Bronze"
8,"Daan Peeters","Belgium","37.62","7","5.37","4","13",4,"Bronze"
36,"Hannah Schneider","Germany","37.62","7","5.37","6","8",4,"Bronze"
55,"Mark Taylor","Australia","37.62","7","5.37","6","9",4,"Bronze"
