"customer_id","customer_name","country","customer_segment","total_spent","favorite_genre","recommended_campaign"
35,"Madalena Sampaio","Portugal","Bronze","37.62","Rock","First purchase coupon"
8,"Daan Peeters","Belgium","Bronze","37.62","Rock","First purchase coupon"
9,"Kara Nielsen","Denmark","Bronze","37.62","Rock","First purchase coupon"
11,"Alexandre Rocha","Brazil","Bronze","37.62","Latin","First purchase coupon"
12,"Roberto Almeida","Brazil","Bronze","37.62","Latin","First purchase coupon"
55,"Mark Taylor","Australia","Bronze","37.62","Rock","First purchase coupon"
18,"Michelle Brooks","USA","Bronze","37.62","Rock","First purchase coupon"
53,"Phil Hughes","United Kingdom","Bronze","37.62","Rock","First purchase coupon"
52,"Emma Jones","United Kingdom","Bronze","37.62","Latin","First purchase coupon"
49,"Stanisław Wójcik","Poland","Bronze","37.62","Rock","First purchase coupon"
47,"Lucas Mancini","Italy","Bronze","37.62","Rock","First purchase coupon"
31,"Martha Silk","Canada","Bronze","37.62","Latin","First purchase coupon"
36,"Hannah Schneider","Germany","Bronze","37.62","Metal","First purchase coupon"
6,"Helena Holý","Czech Republic","Gold","49.62","TV Shows","Album bundle discounts"
46,"Hugh O'Reilly","Ireland","Gold","45.62","TV Shows","Album bundle discounts"
25,"Victor Stevens","USA","Gold","42.62","Rock","Album bundle discounts"
7,"Astrid Gruber","Austria","Gold","42.62","Rock","Album bundle discounts"
5,"František Wichterlová","Czech Republic","Gold","40.62","Rock","Album bundle discounts"
1,"Luís Gonçalves","Brazil","Gold","39.62","Rock","Album bundle discounts"
20,"Dan Miller","USA","Gold","39.62","Latin","Album bundle discounts"
22,"Heather Leacock","USA","Gold","39.62","Metal","Album bundle discounts"
4,"Bjørn Hansen","Norway","Gold","39.62","Rock","Album bundle discounts"
17,"Jack Smith","USA","Gold","39.62","Rock","Album bundle discounts"
39,"Camille Bernard","France","Gold","38.62","Rock","Album bundle discounts"
15,"Jennifer Peterson","Canada","Gold","38.62","Rock","Album bundle discounts"
58,"Manoj Pareek","India","Gold","38.62","Rock","Album bundle discounts"
13,"Fernanda Ramos","Brazil","Gold","37.62","Rock","Album bundle discounts"
21,"Kathy Chase","USA","Gold","37.62","Rock","Album bundle discounts"
27,"Patrick Gray","USA","Gold","37.62","Rock","Album bundle discounts"
2,"Leonie Köhler","Germany","Gold","37.62","Rock","Album bundle discounts"
41,"Marc Dubois","France","Gold","37.62","Rock","Album bundle discounts"
54,"Steve Murray","United Kingdom","Gold","37.62","Rock","Album bundle discounts"
57,"Luis Rojas","Chile","Platinum","46.62","Rock","Early access to new releases"
45,"Ladislav Kovács","Hungary","Platinum","45.62","Rock","Early access to new releases"
24,"Frank Ralston","USA","Platinum","43.62","Rock","Early access to new releases"
37,"Fynn Zimmermann","Germany","Platinum","43.62","Rock","Early access to new releases"
43,"Isabelle Mercier","France","Platinum","40.62","Rock","Early access to new releases"
34,"João Fernandes","Portugal","Platinum","39.62","Rock","Early access to new releases"
3,"François Tremblay","Canada","Platinum","39.62","Metal","Early access to new releases"
19,"Tim Goyer","USA","Platinum","38.62","Rock","Early access to new releases"
23,"John Gordon","USA","Platinum","37.62","Latin","Early access to new releases"
14,"Mark Philips","Canada","Platinum","37.62","Rock","Early access to new releases"
26,"Richard Cunningham","USA","Silver","47.62","Rock","Genre-based discount codes"
28,"Julia Barnett","USA","Silver","43.62","Rock","Genre-based discount codes"
44,"Terhi Hämäläinen","Finland","Silver","41.62","Rock","Genre-based discount codes"
48,"Johannes Van der Berg","Netherlands","Silver","40.62","Rock","Genre-based discount codes"
42,"Wyatt Girard","France","Silver","39.62","Metal","Genre-based discount codes"
40,"Dominique Lefebvre","France","Silver","38.62","Rock","Genre-based discount codes"
51,"Joakim Johansson","Sweden","Silver","38.62","Latin","Genre-based discount codes"
30,"Edward Francis","Canada","Silver","37.62","Rock","Genre-based discount codes"
50,"Enrique Muñoz","Spain","Silver","37.62","Rock","Genre-based discount codes"
29,"Robert Brown","Canada","Silver","37.62","Rock","Genre-based discount codes"
32,"Aaron Mitchell","Canada","Silver","37.62","Latin","Genre-based discount codes"
16,"Frank Harris","USA","Silver","37.62","Metal","Genre-based discount codes"
38,"Niklas Schröder","Germany","Silver","37.62","Rock","Genre-based discount codes"
56,"Diego Gutiérrez","Argentina","Silver","37.62","Alternative & Punk","Genre-based discount codes"
10,"Eduardo Martins","Brazil","Silver","37.62","Rock","Genre-based discount codes"
33,"Ellie Sullivan","Canada","Silver","37.62","Rock","Genre-based discount codes"
59,"Puja Srivastava","India","Silver","36.64","Rock","Genre-based discount codes"
